organization_id,customer_id,order_date,revenue_cents
org-demo-industrial,customer-demo-aco-forte,2023-11-10,2100000
org-demo-industrial,customer-demo-aco-forte,2024-03-15,2450000
org-demo-industrial,customer-demo-aco-forte,2024-06-20,1890000
org-demo-industrial,customer-demo-aco-forte,2024-10-02,3120000
org-demo-industrial,customer-demo-aco-forte,2025-02-18,2780000
org-demo-industrial,customer-demo-aco-forte,2025-07-30,1950000
org-demo-industrial,customer-demo-alimentos-serra,2024-01-08,760000
org-demo-industrial,customer-demo-alimentos-serra,2024-05-10,980000
org-demo-industrial,customer-demo-alimentos-serra,2024-09-22,1120000
org-demo-industrial,customer-demo-alimentos-serra,2025-01-14,870000
org-demo-industrial,customer-demo-alimentos-serra,2025-06-05,1340000
org-demo-industrial,customer-demo-autopecas-brasil,2023-09-14,3900000
org-demo-industrial,customer-demo-autopecas-brasil,2024-02-01,4200000
org-demo-industrial,customer-demo-autopecas-brasil,2024-07-11,3650000
org-demo-industrial,customer-demo-autopecas-brasil,2024-11-28,5100000
org-demo-industrial,customer-demo-autopecas-brasil,2025-03-19,2980000
org-demo-industrial,customer-demo-autopecas-brasil,2025-08-01,4450000
org-demo-industrial,customer-demo-embalagens-sul,2024-08-03,540000
org-demo-industrial,customer-demo-embalagens-sul,2025-04-02,650000
org-demo-industrial,customer-demo-embalagens-sul,2025-07-12,720000
org-demo-industrial,customer-demo-mineracao-horizonte,2024-11-18,620000
org-demo-industrial,customer-demo-mineracao-horizonte,2025-05-20,890000
org-demo-industrial,customer-demo-quimica-vale,2023-08-15,560000
org-demo-industrial,customer-demo-quimica-vale,2024-01-09,480000
org-demo-industrial,customer-demo-quimica-vale,2024-05-22,510000
